id_gmina,nazwa
1090,Grabów nad Pilicą
1091,Kozienice
1092,Magnuszew
1093,Sieciechów
1094,Jabłonna
1095,Legionowo
1096,Nieporęt
1097,Serock
1098,Wieliszew
1099,Chotcza
1100,Ciepielów
1101,Lipsko
1102,Rzeczniów
1103,Sienno
1104,Solec nad Wisłą
1105,Huszlew
1106,Łosice
1107,Olszanka
1108,Platerów
1109,Sarnaki
1110,Stara Kornica
1111,Czerwonka
1112,Karniewo
1113,Krasnosielc
1114,Maków Mazowiecki
1115,Młynarze
1116,Płoniawy-Bramura
1117,Różan
1118,Rzewnie
1119,Sypniewo
1120,Szelków
1121,Cegłów
1122,Dębe Wielkie
1123,Dobre
1124,Halinów
1125,Jakubów
1126,Kałuszyn
1127,Latowicz
1128,Mińsk Mazowiecki
1129,Mińsk Mazowiecki
1130,Mrozy
1131,Siennica
1132,Stanisławów
1133,Sulejówek
1134,Dzierzgowo
1135,Lipowiec Kościelny
1136,Mława
1137,Radzanów
1138,Strzegowo
1139,Stupsk
1140,Szreńsk
1141,Szydłowo
1142,Wieczfnia Kościelna
1143,Wiśniewo
1144,Czosnów
1145,Czosnów
1146,Leoncin
1147,Leoncin
1148,Nasielsk
1149,Nasielsk
1150,Nowy Dwór Mazowiecki
1151,Nowy Dwór Mazowiecki
1152,Pomiechówek
1153,Pomiechówek
1154,Zakroczym
1155,Zakroczym
1156,Baranowo
1157,Czarnia
1158,Czerwin
1159,Goworowo
1160,Kadzidło
1161,Lelis
1162,Łyse
1163,Myszyniec
1164,Olszewo-Borki
1165,Rzekuń
1166,Troszyn
1167,Ostrołęka
1168,Andrzejewo
1169,Andrzejewo
1170,Boguty-Pianki
1171,Boguty-Pianki
1172,Brok
1173,Brok
1174,Małkinia Górna
1175,Małkinia Górna
1176,Nur
1177,Nur
1178,Ostrów Mazowiecka
1179,Ostrów Mazowiecka
1180,Ostrów Mazowiecka
1181,Ostrów Mazowiecka
1182,Stary Lubotyń
1183,Stary Lubotyń
1184,Szulborze Wielkie
1185,Szulborze Wielkie
1186,Wąsewo
1187,Wąsewo
1188,Zaręby Kościelne
1189,Zaręby Kościelne
1190,Celestynów
1191,Józefów
1192,Karczew
1193,Kołbiel
1194,Osieck
1195,Otwock
1196,Sobienie-Jeziory
1197,Wiązowna
1198,Góra Kalwaria
1199,Konstancin-Jeziorna
1200,Lesznowola
1201,Piaseczno
1202,Prażmów
1203,Tarczyn
1204,Płock
1205,Bielsk
1206,Bodzanów
1207,Brudzeń Duży
1208,Bulkowo
1209,Drobin
1210,Gąbin
1211,Łąck
1212,Mała Wieś
1213,Nowy Duninów
1214,Radzanowo
1215,Słubice
1216,Słupno
1217,Stara Biała
1218,Staroźreby
1219,Wyszogród
1220,Baboszewo
1221,Czerwińsk nad Wisłą
1222,Dzierzążnia
1223,Joniec
1224,Naruszewo
1225,Nowe Miasto
1226,Płońsk
1227,Płońsk
1228,Raciąż
1229,Raciąż
1230,Sochocin
1231,Załuski
1232,Brwinów
1233,Michałowice
1234,Nadarzyn
1235,Piastów
1236,Pruszków
1237,Raszyn
1238,Chorzele
1239,Czernice Borowe
1240,Jednorożec
1241,Krasne
1242,Krzynowłoga Mała
1243,Przasnysz
1244,Przasnysz
1245,Borkowice
1246,Gielniów
1247,Klwów
1248,Odrzywół
1249,Potworów
1250,Przysucha
1251,Rusinów
1252,Wieniawa
1253,Gzy
1254,Obryte
1255,Pokrzywnica
1256,Pułtusk
1257,Świercze
1258,Winnica
1259,Zatory
1260,Radom
1261,Gózd
1262,Iłża
1263,Jastrzębia
1264,Jedlińsk
1265,Jedlnia-Letnisko
1266,Kowala
1267,Pionki
1268,Pionki
1269,Przytyk
1270,Skaryszew
1271,Wierzbica
1272,Wolanów
1273,Zakrzew
1274,Siedlce
1275,Domanice
1276,Korczew
1277,Kotuń
1278,Mokobody
1279,Mordy
1280,Paprotnia
1281,Przesmyki
1282,Siedlce
1283,Skórzec
1284,Suchożebry
1285,Wiśniew
1286,Wodynie
1287,Zbuczyn
1288,Gozdowo
1289,Mochowo
1290,Rościszewo
1291,Sierpc
1292,Sierpc
1293,Szczutowo
1294,Zawidz
1295,Brochów
1296,Iłów
1297,Młodzieszyn
1298,Nowa Sucha
1299,Rybno
1300,Sochaczew
1301,Sochaczew
1302,Teresin
1303,Bielany
1304,Ceranów
